"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Itga1",0,-0.248685445888132,FALSE,TRUE,FALSE,FALSE,"down_in_KO",0.0885058791921085,0.161358301861506,-0.725324936554356,2.1750129415716e-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","13","controlled","descriptive_n1_sex_confounded_depth_matched"
"Lif",0,-0.248286964503028,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.00331603780668165,0.987745391069069,-1.45923311532716,0.00225100976136058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tek",-0.24745340793191,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.256845714541784,0.0893535242278097,0.108839365658745,0.629284940510064,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Kcnk3",-0.246558322441699,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.763390587979089,7.10797268884362e-40,-0.0950586856298757,0.0152321441562267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Actn1",-0.192889766143359,-0.244936682489481,TRUE,TRUE,TRUE,TRUE,"down_in_KO",-0.180405008049703,0.000621529749276224,-0.200318612659135,0.000511005340367606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","12","controlled","descriptive_n1_sex_confounded_depth_matched"
"Msn",-0.238053243039875,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.00723894918767861,0.935108155905061,0.239735904619467,5.57694259933314e-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","X","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm31508",0.235903661738718,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",-1.92257244883205,0.00115264383609683,-0.0100942872651093,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm","12","controlled","descriptive_n1_sex_confounded_depth_matched"
"Tuba1b",0.235464978798293,0.0242498953442876,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.503780196708005,1.12509006222766e-38,0.721907345793243,2.47745437646268e-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","15","controlled","descriptive_n1_sex_confounded_depth_matched"
"Lrtm1",0,-0.233678200650002,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.51745183476845,5.27756907607436e-07,-1.25850019026222,1.26757350263385e-149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","controlled","descriptive_n1_sex_confounded_depth_matched"
"Igfbp7",-0.228500999902864,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.525059006461182,9.12879814901837e-06,0.263663168638912,0.165270928176834,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
"Mcm4",0,0.228191775934128,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.896262538948799,1.22600081379909e-22,0.906801309401297,4.1499640082579e-48,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"other","16","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ppp1r15a",0,0.223479295853755,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.217611416418889,1.88699991026314e-06,0.534135563313364,6.822161407548e-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","7","controlled","descriptive_n1_sex_confounded_depth_matched"
