"timepoint","state_type","state","genotype","n","median_logit","median_p_ko","frac_p_ko_gt_0.5","rel_median_logit","within_state_auc","NOTE"
"P7","cm_subcluster","CM2","WT",736,-8.14120799072907,0.000291201411519826,0.00271739130434783,-0.424615133604765,0.999992493394187,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM2","KO",1267,7.53863147162112,0.999468157654425,1,0.383400207311424,0.999992493394187,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM3","WT",195,-8.33377565079087,0.000240205467784261,0.00512820512820513,-0.617182793666569,0.999968147794235,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM3","KO",322,7.15189603221895,0.999217179391237,0.996894409937888,-0.00333523209074382,0.999968147794235,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM4","WT",349,-7.12701253287317,0.000802470610840826,0.00286532951289398,0.589580324251133,0.999814510184855,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM4","KO",587,7.32281851057979,0.999340137178795,0.996592844974446,0.167587246270096,0.999814510184855,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM5","WT",185,-7.12566272398861,0.000803553653191772,0.0108108108108108,0.590930133135696,0.999740917387976,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM5","KO",459,6.76442379662676,0.998847218133607,0.993464052287582,-0.390807467682938,0.999740917387976,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM6","WT",212,-7.90191715003281,0.000369898357745215,0.00471698113207547,-0.185324292908505,1,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM6","KO",307,7.77958547594504,0.999581989319369,1,0.624354211635342,1,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM8","WT",31,-3.07163836839322,0.0442924226622016,0.129032258064516,4.64495448873108,0.973118279569892,"descriptive_n1_sex_confounded_depth_matched"
"P7","cm_subcluster","CM8","KO",36,4.35524434287508,0.98730324467814,0.972222222222222,-2.79998692143461,0.973118279569892,"descriptive_n1_sex_confounded_depth_matched"
