"sub","Phase","timepoint","genotype","n","frac"
"CM9","G2M","P7","KO",0,0
"CM10","G1","P7","KO",21,0.225806451612903
"CM10","S","P7","KO",30,0.32258064516129
"CM10","G2M","P7","KO",42,0.451612903225806
"CM11","G1","P7","KO",277,0.90228013029316
"CM11","S","P7","KO",29,0.0944625407166124
"CM11","G2M","P7","KO",1,0.00325732899022801
"CM12","G1","P7","KO",105,0.889830508474576
"CM12","S","P7","KO",13,0.110169491525424
"CM12","G2M","P7","KO",0,0
"CM13","G1","P7","KO",0,0
"CM13","S","P7","KO",0,0
"CM13","G2M","P7","KO",0,0
"CM14","G1","P7","KO",7,0.4375
"CM14","S","P7","KO",7,0.4375
"CM14","G2M","P7","KO",2,0.125
"CM0","G1","P0","WT",3774,0.975193798449612
"CM0","S","P0","WT",66,0.0170542635658915
"CM0","G2M","P0","WT",30,0.00775193798449612
"CM1","G1","P0","WT",1107,0.967657342657343
"CM1","S","P0","WT",36,0.0314685314685315
"CM1","G2M","P0","WT",1,0.000874125874125874
"CM2","G1","P0","WT",786,0.969173859432799
"CM2","S","P0","WT",17,0.0209617755856967
"CM2","G2M","P0","WT",8,0.00986436498150432
"CM3","G1","P0","WT",641,0.951038575667656
"CM3","S","P0","WT",13,0.0192878338278932
"CM3","G2M","P0","WT",20,0.029673590504451
"CM4","G1","P0","WT",0,0
"CM4","S","P0","WT",82,0.0869565217391304
"CM4","G2M","P0","WT",861,0.91304347826087
"CM5","G1","P0","WT",1195,0.960610932475884
"CM5","S","P0","WT",31,0.02491961414791
"CM5","G2M","P0","WT",18,0.0144694533762058
"CM6","G1","P0","WT",296,0.360975609756098
"CM6","S","P0","WT",3,0.00365853658536585
"CM6","G2M","P0","WT",521,0.635365853658537
"CM7","G1","P0","WT",647,0.926934097421203
"CM7","S","P0","WT",23,0.0329512893982808
"CM7","G2M","P0","WT",28,0.0401146131805158
"CM8","G1","P0","WT",929,0.957731958762887
"CM8","S","P0","WT",22,0.022680412371134
"CM8","G2M","P0","WT",19,0.0195876288659794
"CM9","G1","P0","WT",485,0.954724409448819
"CM9","S","P0","WT",12,0.0236220472440945
"CM9","G2M","P0","WT",11,0.0216535433070866
"CM10","G1","P0","WT",369,0.565950920245399
"CM10","S","P0","WT",38,0.0582822085889571
"CM10","G2M","P0","WT",245,0.375766871165644
"CM11","G1","P0","WT",202,0.975845410628019
"CM11","S","P0","WT",3,0.0144927536231884
"CM11","G2M","P0","WT",2,0.00966183574879227
"CM12","G1","P0","WT",219,1
"CM12","S","P0","WT",0,0
"CM12","G2M","P0","WT",0,0
"CM13","G1","P0","WT",197,0.895454545454546
"CM13","S","P0","WT",2,0.00909090909090909
"CM13","G2M","P0","WT",21,0.0954545454545455
"CM14","G1","P0","WT",25,0.641025641025641
"CM14","S","P0","WT",2,0.0512820512820513
"CM14","G2M","P0","WT",12,0.307692307692308
"CM0","G1","P7","WT",5,1
"CM0","S","P7","WT",0,0
"CM0","G2M","P7","WT",0,0
"CM1","G1","P7","WT",1461,0.852392065344224
"CM1","S","P7","WT",236,0.137689614935823
"CM1","G2M","P7","WT",17,0.00991831971995333
"CM2","G1","P7","WT",547,0.795058139534884
"CM2","S","P7","WT",137,0.199127906976744
"CM2","G2M","P7","WT",4,0.00581395348837209
"CM3","G1","P7","WT",1264,0.880222841225627
"CM3","S","P7","WT",154,0.107242339832869
"CM3","G2M","P7","WT",18,0.0125348189415042
"CM4","G1","P7","WT",0,0
"CM4","S","P7","WT",296,0.407152682255846
"CM4","G2M","P7","WT",431,0.592847317744154
"CM5","G1","P7","WT",269,0.8328173374613
"CM5","S","P7","WT",52,0.160990712074303
"CM5","G2M","P7","WT",2,0.00619195046439629
"CM6","G1","P7","WT",218,0.600550964187328
"CM6","S","P7","WT",0,0
"CM6","G2M","P7","WT",145,0.399449035812672
"CM7","G1","P7","WT",520,0.879864636209814
"CM7","S","P7","WT",71,0.120135363790186
"CM7","G2M","P7","WT",0,0
"CM8","G1","P7","WT",0,0
"CM8","S","P7","WT",0,0
"CM8","G2M","P7","WT",0,0
"CM9","G1","P7","WT",337,0.908355795148248
"CM9","S","P7","WT",33,0.0889487870619946
"CM9","G2M","P7","WT",1,0.00269541778975741
"CM10","G1","P7","WT",32,0.359550561797753
"CM10","S","P7","WT",12,0.134831460674157
"CM10","G2M","P7","WT",45,0.50561797752809
"CM11","G1","P7","WT",158,0.94047619047619
"CM11","S","P7","WT",10,0.0595238095238095
"CM11","G2M","P7","WT",0,0
"CM12","G1","P7","WT",35,0.921052631578947
"CM12","S","P7","WT",3,0.0789473684210526
"CM12","G2M","P7","WT",0,0
"CM13","G1","P7","WT",0,0
"CM13","S","P7","WT",0,0
"CM13","G2M","P7","WT",0,0
"CM14","G1","P7","WT",15,0.625
"CM14","S","P7","WT",7,0.291666666666667
"CM14","G2M","P7","WT",2,0.0833333333333333
